,id,permalink,text,date,username,name,hashtags,links,lang
521,1330247009262051329,https://twitter.com/MarissaMLea/status/1330247009262051329,Cancel culture is so disgusting. I swear these monsters get personal enjoyment from seeing people’s entire lives ruined. And no amount of pain is enough. I swear liberals would be happy to just start seeing people commit suicide. #CancelCulture #Liberalism,2020-11-21T20:29:36.000Z,@MarissaMLea,Marissa,"['#CancelCulture', '#Liberalism']","['https://twitter.com/MarissaMLea', 'https://twitter.com/MarissaMLea', 'https://twitter.com/MarissaMLea/status/1330247009262051329', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/Liberalism?src=hashtag_click']",en
522,1330222356544020489,https://twitter.com/tjampie2006/status/1330222356544020489,"Cancel Culture and the comments that come with it are like recieving the guillotine in 1700s Paris. People offend others who clearly made a mistake just because they made a bad joke.
 #cancelcancelculture #cancelculture #cancelcult",2020-11-21T18:51:38.000Z,@tjampie2006,Tjampie2006,"['#cancelcancelculture', '#cancelculture', '#cancelcult']","['https://twitter.com/tjampie2006', 'https://twitter.com/tjampie2006', 'https://twitter.com/tjampie2006/status/1330222356544020489', 'https://twitter.com/hashtag/cancelcancelculture?src=hashtag_click', 'https://twitter.com/hashtag/cancelculture?src=hashtag_click', 'https://twitter.com/hashtag/cancelcult?src=hashtag_click']",en
523,1330210879967735818,https://twitter.com/zero_solitude/status/1330210879967735818,"Cancel culture is cancelling the holidays now, I guess. #CancelCulture #cancelled",2020-11-21T18:06:02.000Z,@zero_solitude,Zero Solitude,"['#CancelCulture', '#cancelled']","['https://twitter.com/zero_solitude', 'https://twitter.com/zero_solitude', 'https://twitter.com/zero_solitude/status/1330210879967735818', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/cancelled?src=hashtag_click']",en
524,1330209416768069632,https://twitter.com/InvoxiPlayGames/status/1330209416768069632,"Just called somebody the N word over MSN Messenger! Can't catch me now, cancel culture! Take that SJWs! #freespeech #offenserati #languagepolice #orwell #orwell1984 #george #newspeak #freespeechrights #freerights #cancelculture #cancelling #cancelled",2020-11-21T18:00:13.000Z,@InvoxiPlayGames,Emma (InvoxiPlayGames),"['#freespeech', '#offenserati', '#languagepolice', '#orwell', '#orwell1984', '#george', '#newspeak', '#freespeechrights', '#freerights', '#cancelculture', '#cancelling', '#cancelled']","['https://twitter.com/InvoxiPlayGames', 'https://twitter.com/InvoxiPlayGames', 'https://twitter.com/InvoxiPlayGames/status/1330209416768069632', 'https://twitter.com/hashtag/freespeech?src=hashtag_click', 'https://twitter.com/hashtag/offenserati?src=hashtag_click', 'https://twitter.com/hashtag/languagepolice?src=hashtag_click', 'https://twitter.com/hashtag/orwell?src=hashtag_click', 'https://twitter.com/hashtag/orwell1984?src=hashtag_click', 'https://twitter.com/hashtag/george?src=hashtag_click', 'https://twitter.com/hashtag/newspeak?src=hashtag_click', 'https://twitter.com/hashtag/freespeechrights?src=hashtag_click', 'https://twitter.com/hashtag/freerights?src=hashtag_click', 'https://twitter.com/hashtag/cancelculture?src=hashtag_click', 'https://twitter.com/hashtag/cancelling?src=hashtag_click', 'https://twitter.com/hashtag/cancelled?src=hashtag_click']",en
525,1330159475446132737,https://twitter.com/Aria27035125/status/1330159475446132737,"Activism gone too far becomes abusive, stepping on other people's rights and dictating their behavior without justification.
Another example of cancel culture at work.

#SiaMusic 
#ActivistsNotExtremists 
#CancelCulture 
#autism",2020-11-21T14:41:46.000Z,@Aria27035125,Truth#StopTheSteal,"['#SiaMusic', '#ActivistsNotExtremists', '#CancelCulture', '#autism']","['https://twitter.com/Aria27035125', 'https://twitter.com/Aria27035125', 'https://twitter.com/Aria27035125/status/1330159475446132737', 'https://twitter.com/hashtag/SiaMusic?src=hashtag_click', 'https://twitter.com/hashtag/ActivistsNotExtremists?src=hashtag_click', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/autism?src=hashtag_click']",en
526,1330148596356960256,https://twitter.com/willy_on_stix/status/1330148596356960256,Who’s tryna help me ddos the entirety of cancel culture #CancelCulture #cancelled #CyberAttack #maketwittergreatagain,2020-11-21T13:58:32.000Z,@willy_on_stix,willy,"['#CancelCulture', '#cancelled', '#CyberAttack', '#maketwittergreatagain']","['https://twitter.com/willy_on_stix', 'https://twitter.com/willy_on_stix', 'https://twitter.com/willy_on_stix/status/1330148596356960256', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/cancelled?src=hashtag_click', 'https://twitter.com/hashtag/CyberAttack?src=hashtag_click', 'https://twitter.com/hashtag/maketwittergreatagain?src=hashtag_click']",en
527,1330138785217196033,https://twitter.com/Autodealerlive/status/1330138785217196033,"Navigating Cancel Culture https://autodealerlive.net/navigating-cancel-culture/… via 
@AutoDealerLive
 #Automotive #CancelCulture",2020-11-21T13:19:33.000Z,@Autodealerlive,Auto Dealer Live Podcast + Magazine,"['#Automotive', '#CancelCulture']","['https://twitter.com/Autodealerlive', 'https://twitter.com/Autodealerlive', 'https://twitter.com/Autodealerlive/status/1330138785217196033', 'https://t.co/L8uynNm1m8?amp=1', 'https://twitter.com/Autodealerlive', 'https://twitter.com/hashtag/Automotive?src=hashtag_click', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://t.co/L8uynNm1m8?amp=1', 'https://t.co/L8uynNm1m8?amp=1']",en
528,1330032104776880136,https://twitter.com/julysjenny/status/1330032104776880136,"People talking about cancel culture. Where's the cancel culture for Trump? Where's the cancel culture for COVID non-believers? And for sure where's it at for Ricky Schroeder(who f'ng knew-a silver spoon up his ass)? Where the f** my Karens at? 
#CancelCulture 
#Karen
#fuck2020",2020-11-21T06:15:39.000Z,@julysjenny,saysomethingwitty,"['#CancelCulture', '#Karen', '#fuck2020']","['https://twitter.com/julysjenny', 'https://twitter.com/julysjenny', 'https://twitter.com/julysjenny/status/1330032104776880136', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/Karen?src=hashtag_click', 'https://twitter.com/hashtag/fuck2020?src=hashtag_click']",en
529,1329976188517953542,https://twitter.com/Intl_Cowgirl/status/1329976188517953542,Fuck your cancel culture...the shaming isn't cool #millenials #CancelCulture #justlovepeople #hateisexhausting,2020-11-21T02:33:27.000Z,@Intl_Cowgirl,Cat McBain-Fox,"['#millenials', '#CancelCulture', '#justlovepeople', '#hateisexhausting']","['https://twitter.com/Intl_Cowgirl', 'https://twitter.com/Intl_Cowgirl', 'https://twitter.com/Intl_Cowgirl/status/1329976188517953542', 'https://twitter.com/hashtag/millenials?src=hashtag_click', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/justlovepeople?src=hashtag_click', 'https://twitter.com/hashtag/hateisexhausting?src=hashtag_click']",en
530,1329964827335389185,https://twitter.com/FalseFlag_Watch/status/1329964827335389185,"Replying to 
@RitaPanahi",2020-11-21T01:48:19.000Z,@FalseFlag_Watch,False Flag 2020,"['#covid19', '#Agenda21', '#Agenda2030', '#TheGreatReset', '#coronavirus', '#NewWorldOrder', '#CancelCulture', '#goldenage', '#NWO']","['https://twitter.com/FalseFlag_Watch', 'https://twitter.com/FalseFlag_Watch', 'https://twitter.com/FalseFlag_Watch/status/1329964827335389185', 'https://twitter.com/RitaPanahi', 'https://twitter.com/hashtag/covid19?src=hashtag_click', 'https://twitter.com/hashtag/Agenda21?src=hashtag_click', 'https://twitter.com/hashtag/Agenda2030?src=hashtag_click', 'https://twitter.com/hashtag/TheGreatReset?src=hashtag_click', 'https://twitter.com/hashtag/coronavirus?src=hashtag_click', 'https://twitter.com/hashtag/NewWorldOrder?src=hashtag_click', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/goldenage?src=hashtag_click', 'https://twitter.com/hashtag/NWO?src=hashtag_click', 'https://twitter.com/FalseFlag_Watch/status/1329964827335389185/photo/1']",en
